Price,Close,High,Low,Open,Volume
Ticker,NEE,NEE,NEE,NEE,NEE
Date,,,,,
2010-01-04,8.230569839477539,8.306306797901618,8.171835091492591,8.198111395703293,10408800
2010-01-05,8.150196075439453,8.256845499833203,8.077550482083094,8.2382979020294,11186400
2010-01-06,8.230569839477539,8.244480685326145,8.134739895641312,8.13628528312782,13493200
2010-01-07,8.20738410949707,8.22284093096122,8.137830476569471,8.221294954006082,9768800
2010-01-08,8.136286735534668,8.21975182552564,8.106919651108635,8.188838763719618,9074400
2010-01-11,8.13010311126709,8.30785275489322,8.021908291269495,8.15637941727904,24571600
2010-01-12,7.932260990142822,8.068278102095347,7.885891694364202,8.068278102095347,22500400
2010-01-13,7.960080623626709,7.998721791702566,7.817881408123919,7.912165362950369,23431200
2010-01-14,7.72977876663208,7.827154672305244,7.674135981579116,7.805515713181744,32314400
2010-01-15,7.81324577331543,7.8256112328165095,7.6370421027479605,7.6834113966418895,24167600
2010-01-19,7.86579704284668,7.867343019944879,7.748328136936252,7.765330347311414,14181200
2010-01-20,7.725142955780029,7.817882121393668,7.632404379783877,7.817882121393668,15854800
2010-01-21,7.578306674957275,7.776149882045512,7.558213689482443,7.717415133877324,18664400
2010-01-22,7.440743446350098,7.5906713715143495,7.437652082060195,7.576760527018517,14230000
2010-01-25,7.380464553833008,7.502570810472697,7.3696450718135464,7.482477234029034,21731600
2010-01-26,7.607674598693848,7.6617720069651964,7.436107690151101,7.496387827829898,25260000
2010-01-27,7.691134929656982,7.692680905981907,7.539661678760992,7.596851010438976,17494400
2010-01-28,7.575218200683594,7.700415861480837,7.5535792298435664,7.700415861480837,13256400
2010-01-29,7.536572456359863,7.604581283160192,7.525752977481153,7.572122846524059,23262800
2010-02-01,7.609219074249268,7.6184931672489125,7.50256965803192,7.519571867055872,11096400
2010-02-02,7.663320064544678,7.664865452507313,7.527302928742874,7.6061306864264475,10453600
2010-02-03,7.635498046875,7.6478629189151555,7.587582767377445,7.620041219802725,15056800
2010-02-04,7.42219877243042,7.593765725554353,7.414470653471745,7.57830889801932,18499600
2010-02-05,7.326367378234863,7.419105966975024,7.224354694773659,7.408286484609257,25320000
2010-02-08,7.247535228729248,7.620035954314827,7.244443865450943,7.324817541835113,9212400
2010-02-09,7.181077480316162,7.315549224922404,7.159438511653367,7.292364278716452,29608800
2010-02-10,7.097611904144287,7.184168362591523,7.077518914376064,7.184168362591523,18621200
2010-02-11,7.1037917137146,7.123885284838344,7.028055359630123,7.108429054507705,17407600
2010-02-12,7.04351282119751,7.083699970469886,7.000234897012639,7.04969555025749,13014800
2010-02-16,7.1687092781066895,7.170254665314321,7.082152854044345,7.082152854044345,11662400
2010-02-17,7.074423789978027,7.202712137232293,7.063604312123474,7.184164545141249,11451200
2010-02-18,7.069790363311768,7.094520694266216,7.043514055012768,7.0867919867786515,11796000
2010-02-19,7.245991230010986,7.276904279098787,7.063604888972071,7.083698459321747,16754400
2010-02-22,7.236720561981201,7.301638054738792,7.2259010781245445,7.289272593406813,13581200
2010-02-23,7.2336273193359375,7.267631739556209,7.208896992707785,7.235173296410038,14850000
2010-02-24,7.352365970611572,7.388299688381381,7.311744831577944,7.349241221763994,23348400
2010-02-25,7.324243545532227,7.336741944457387,7.225816046562741,7.296121402969517,12076000
2010-02-26,7.244564533233643,7.353928363667993,7.2445645332336435,7.341429963724457,13330000
2010-03-01,7.402359485626221,7.453916342771694,7.311743572603849,7.3367409630954,14040800
2010-03-02,7.372676849365234,7.49922651129798,7.371114772742104,7.411735320778245,12073200
2010-03-03,7.332056045532227,7.414859811323803,7.303933899417172,7.369551843028996,12189600
2010-03-04,7.382049560546875,7.3945485548702665,7.308619458859087,7.333616851521016,9306400
2010-03-05,7.444546222686768,7.4523577991710654,7.383614495745045,7.414861397667319,9364800
2010-03-08,7.46016788482666,7.475791034673149,7.428920989148718,7.46016788482666,7573600
2010-03-09,7.34611701965332,7.4461066062780015,7.332055946785165,7.436732359037583,11987600
2010-03-10,7.3383049964904785,7.372676042301653,7.302371278242257,7.339867072942614,7936400
2010-03-11,7.400798320770264,7.411734644088625,7.296121913013117,7.32580613402225,11961600
2010-03-12,7.353928089141846,7.436731848129564,7.335180191933947,7.433607695249003,10052000
2010-03-15,7.391421318054199,7.391421318054199,7.314866493556846,7.364861262050551,6087200
2010-03-16,7.4757914543151855,7.486727779018614,7.358616035934164,7.39611243204949,6906000
2010-03-17,7.502351760864258,7.5132880859104505,7.474229611892614,7.5132880859104505,9468800
2010-03-18,7.494536399841309,7.5273453584084065,7.466414265073878,7.510159543163342,11521200
2010-03-19,7.524220943450928,7.586714711473481,7.469539343419749,7.524220943450928,13207200
2010-03-22,7.4742255210876465,7.525782368660806,7.444541311635504,7.513283973727948,8700000
2010-03-23,7.471102237701416,7.519534943022736,7.444542770772981,7.478913810563614,9041200
2010-03-24,7.385170936584473,7.482035714416662,7.358610883768719,7.466412574631804,10957200
2010-03-25,7.413295269012451,7.436729985657052,7.360175743572697,7.419544765178247,10774800
2010-03-26,7.469541072845459,7.486726296845059,7.407047290353696,7.438294181599578,10840000
2010-03-29,7.589842796325684,7.591404873019876,7.460168379262559,7.4757915301445,11158400
2010-03-30,7.446107387542725,7.611715530256478,7.4257968143832525,7.611715530256478,17424400
2010-03-31,7.550784587860107,7.608590963331937,7.408611168318944,7.43673331768038,15155200
2010-04-01,7.6304612159729,7.646084362493244,7.577341683424962,7.585153256685133,10013600
2010-04-05,7.650768280029297,7.657017178185226,7.589837202120899,7.639831963275716,9532000
2010-04-06,7.685142993927002,7.703891485345868,7.58827817220226,7.608588739913607,8435200
2010-04-07,7.671079635620117,7.688265449636352,7.592962732626084,7.68514070199843,11228800
2010-04-08,7.661711692810059,7.683584346574959,7.589844231586783,7.661711692810059,13638400
2010-04-09,7.766384601593018,7.767947273856827,7.60233917699878,7.671081856985313,13893200
2010-04-12,7.771075248718262,7.796072651453799,7.733578846622409,7.767950498878182,10430800
